dataset,comparison,metric,estimate,ci_low,ci_high,type
CDC Diabetes (BRFSS 2015),18_44_vs_65_plus,sensitivity,-0.20676500434758238,-0.2405843897108738,-0.16960143270537986,raw
CDC Diabetes (BRFSS 2015),18_44_vs_65_plus,specificity,0.3190040835710466,0.31054846080081,0.32770761859313424,raw
CDC Diabetes (BRFSS 2015),18_44_vs_65_plus,fpr,-0.3190040835710466,-0.32770761859313424,-0.31054846080081,raw
CDC Diabetes (BRFSS 2015),18_44_vs_65_plus,fnr,0.20676500434758238,0.16960143270537986,0.2405843897108738,raw
CDC Diabetes (BRFSS 2015),18_44_vs_65_plus,ppv,-0.16213272795214317,-0.18015093129148793,-0.14541994317111714,raw
CDC Diabetes (BRFSS 2015),18_44_vs_65_plus,npv,0.0729096987443063,0.06678293286280705,0.07861481261931282,raw
CDC Diabetes (BRFSS 2015),18_44_vs_65_plus,predicted_positive_rate,-0.3784841828152198,-0.38694531504539553,-0.37058398321623587,raw
CDC Diabetes (BRFSS 2015),18_44_vs_65_plus,ppv,0.2110708487943707,0.19281773214943068,0.22840490057845608,prevalence_adjusted
CDC Diabetes (BRFSS 2015),18_44_vs_65_plus,npv,-0.017950238547683628,-0.024938845470243318,-0.010227583429299325,prevalence_adjusted
CDC Diabetes (BRFSS 2015),18_44_vs_65_plus,predicted_positive_rate,-0.3008782102454042,-0.31001321265393533,-0.2913740830871849,prevalence_adjusted
Diabetes-130 (readmission),under_30_vs_60_plus,sensitivity,0.10363303147908587,-0.07967582517224174,0.2295775478038446,raw
Diabetes-130 (readmission),under_30_vs_60_plus,specificity,0.13297665470715347,0.08303660921888824,0.18724118143028792,raw
Diabetes-130 (readmission),under_30_vs_60_plus,fpr,-0.13297665470715347,-0.18724118143028792,-0.08303660921888824,raw
Diabetes-130 (readmission),under_30_vs_60_plus,fnr,-0.10363303147908587,-0.2295775478038446,0.07967582517224174,raw
Diabetes-130 (readmission),under_30_vs_60_plus,ppv,0.10029585237724972,-0.00047061892550683384,0.18028908298553561,raw
Diabetes-130 (readmission),under_30_vs_60_plus,npv,0.02944911543177442,0.0094239122525414,0.04874900037626033,raw
Diabetes-130 (readmission),under_30_vs_60_plus,predicted_positive_rate,-0.10726169432714655,-0.17733928324964418,-0.04118470216422449,raw
Diabetes-130 (readmission),under_30_vs_60_plus,ppv,0.10569784276354033,0.05482979652449254,0.15736248493886038,prevalence_adjusted
Diabetes-130 (readmission),under_30_vs_60_plus,npv,0.028096600918525394,0.0029164124588677786,0.04690977277990768,prevalence_adjusted
Diabetes-130 (readmission),under_30_vs_60_plus,predicted_positive_rate,-0.10605705700437501,-0.1673788542453886,-0.054094056822709874,prevalence_adjusted
BRFSS 2022 (heart disease),18_44_vs_65_plus,sensitivity,-0.38044900664502646,-0.42165258473354933,-0.3402494489376662,raw
BRFSS 2022 (heart disease),18_44_vs_65_plus,specificity,0.43063496668045836,0.4248876241053821,0.43669545948431765,raw
BRFSS 2022 (heart disease),18_44_vs_65_plus,fpr,-0.4306349666804583,-0.43669545948431765,-0.4248876241053821,raw
BRFSS 2022 (heart disease),18_44_vs_65_plus,fnr,0.38044900664502646,0.34024944893766623,0.4216525847335493,raw
BRFSS 2022 (heart disease),18_44_vs_65_plus,ppv,-0.1779753087212938,-0.187829777295917,-0.1679281763488322,raw
BRFSS 2022 (heart disease),18_44_vs_65_plus,npv,0.06620270979405796,0.06257341627274302,0.06985031394654345,raw
BRFSS 2022 (heart disease),18_44_vs_65_plus,predicted_positive_rate,-0.47642789569526406,-0.48204202138382507,-0.47117926278490385,raw
BRFSS 2022 (heart disease),18_44_vs_65_plus,ppv,0.20813936669432848,0.18388367903120179,0.2290036287265623,prevalence_adjusted
BRFSS 2022 (heart disease),18_44_vs_65_plus,npv,-0.0232066223174473,-0.027731227189374465,-0.018691692122292537,prevalence_adjusted
BRFSS 2022 (heart disease),18_44_vs_65_plus,predicted_positive_rate,-0.42560387394242327,-0.4322832715092256,-0.41920017486700245,prevalence_adjusted
NHANES 2017-18 (diabetes),under_45_vs_65_plus,sensitivity,-0.31086871834826646,-0.48891746569497335,-0.13048196989146932,raw
NHANES 2017-18 (diabetes),under_45_vs_65_plus,specificity,0.49561526116891863,0.4326597201480826,0.5559964408397163,raw
NHANES 2017-18 (diabetes),under_45_vs_65_plus,fpr,-0.49561526116891863,-0.5559964408397163,-0.4326597201480826,raw
NHANES 2017-18 (diabetes),under_45_vs_65_plus,fnr,0.31086871834826646,0.13048196989146932,0.48891746569497335,raw
NHANES 2017-18 (diabetes),under_45_vs_65_plus,ppv,-0.25587606837606836,-0.34444449409598904,-0.16472312409812415,raw
NHANES 2017-18 (diabetes),under_45_vs_65_plus,npv,0.2125294557158458,0.13897373475100386,0.28844223867603713,raw
NHANES 2017-18 (diabetes),under_45_vs_65_plus,predicted_positive_rate,-0.5369163416381437,-0.5853356682321101,-0.4866547799092574,raw
NHANES 2017-18 (diabetes),under_45_vs_65_plus,ppv,0.2237790894302663,0.11237425957252181,0.3267533732291789,prevalence_adjusted
NHANES 2017-18 (diabetes),under_45_vs_65_plus,npv,-0.004457136647293636,-0.0443283186354813,0.04181527069355687,prevalence_adjusted
NHANES 2017-18 (diabetes),under_45_vs_65_plus,predicted_positive_rate,-0.4662526233494851,-0.5247307791244832,-0.40792637087104233,prevalence_adjusted
CCHS 2019-20 (diabetes),18_34_vs_65_plus,sensitivity,-0.4736145574855252,-0.6722920990175244,-0.23841429758233715,raw
CCHS 2019-20 (diabetes),18_34_vs_65_plus,specificity,0.4387014164216826,0.42888914663252914,0.4506365807308302,raw
CCHS 2019-20 (diabetes),18_34_vs_65_plus,fpr,-0.4387014164216826,-0.4506365807308302,-0.42888914663252914,raw
CCHS 2019-20 (diabetes),18_34_vs_65_plus,fnr,0.4736145574855253,0.23841429758233715,0.6722920990175244,raw
CCHS 2019-20 (diabetes),18_34_vs_65_plus,ppv,-0.2213397944990353,-0.24077964682239686,-0.1986978746292017,raw
CCHS 2019-20 (diabetes),18_34_vs_65_plus,npv,0.09160176445999157,0.08463170750369858,0.09901586277429611,raw
CCHS 2019-20 (diabetes),18_34_vs_65_plus,predicted_positive_rate,-0.48214443428375525,-0.4931356989587016,-0.4725497298163412,raw
CCHS 2019-20 (diabetes),18_34_vs_65_plus,ppv,0.2892816796343736,0.003983448129361821,0.44734981429021387,prevalence_adjusted
CCHS 2019-20 (diabetes),18_34_vs_65_plus,npv,-0.03313450562526876,-0.058402804615324475,-0.002289414878646828,prevalence_adjusted
CCHS 2019-20 (diabetes),18_34_vs_65_plus,predicted_positive_rate,-0.4432523766257184,-0.47226398250923307,-0.40874215700800337,prevalence_adjusted
