dataset,metric,target_prevalence,raw_a,raw_b,raw_gap,adjusted_a,adjusted_b,adjusted_gap,attenuation_pct
CDC Diabetes (BRFSS 2015),ppv,0.15758698622937034,0.3349787363304982,0.3247334889295401,0.010245247400958057,0.3176504034174943,0.33926148224251407,-0.02161107882501978,310.9375984712568
CDC Diabetes (BRFSS 2015),npv,0.15758698622937034,0.9390011250794893,0.955442942942943,-0.016441817863453667,0.9433636060594701,0.9525691073503729,-0.009205501290902807,44.01165754691583
CDC Diabetes (BRFSS 2015),predicted_positive_rate,0.15758698622937034,0.3917765017405016,0.37307321205845667,0.018703289682044932,0.3867631185434504,0.3774658911987756,0.009297227344674808,50.290951470424474
Diabetes-130 (readmission),ppv,0.10911199469847581,0.16631858743117525,0.16606654184070285,0.0002520455904723995,0.1698232342965238,0.1631657595022728,0.006657474794250995,-2541.3772134529877
Diabetes-130 (readmission),npv,0.10911199469847581,0.9295612009237876,0.9297529538131042,-0.00019175288931660983,0.9279021983931409,0.9311182487019428,-0.003216050308801899,-1577.1847977173197
Diabetes-130 (readmission),predicted_positive_rate,0.10911199469847581,0.37818625691103613,0.42718267396788284,-0.04899641705684671,0.3787570141455231,0.42669212061160416,-0.04793510646608107,2.1660983690588744
BRFSS 2022 (heart disease),ppv,0.09031764545495857,0.27200555720948694,0.1716370423789929,0.10036851483049403,0.22711041734895338,0.21196028020808053,0.015150137140872849,84.90548837306306
BRFSS 2022 (heart disease),npv,0.09031764545495857,0.9649533827396606,0.9799685866127332,-0.015015203873072647,0.9722298259472727,0.97415111606624,-0.001921290118967356,87.20436875044447
BRFSS 2022 (heart disease),predicted_positive_rate,0.09031764545495857,0.32514842540010325,0.33651677373304784,-0.011368348332944589,0.3137724243131567,0.3463987848770653,-0.03262636056390861,-186.99297038040217
NHANES 2017-18 (diabetes),ppv,0.17995444191343962,0.3691460055096419,0.29876543209876544,0.07038057341087645,0.34701370222251354,0.3194262145253244,0.02758748769718916,60.802411290207175
NHANES 2017-18 (diabetes),npv,0.17995444191343962,0.9346938775510204,0.9417670682730924,-0.00707319072207202,0.9403323262839879,0.9362273056094567,0.0041050206745312234,158.03633516796646
NHANES 2017-18 (diabetes),predicted_positive_rate,0.17995444191343962,0.42555685814771393,0.4485049833887043,-0.02294812524099038,0.4186129483766502,0.4544500207219716,-0.03583707234532141,-56.16557766256454
CCHS 2019-20 (diabetes),ppv,0.09910576211927655,0.2297225658243506,0.17710968894180681,0.05261287688254379,0.19874230342633725,0.20378544778496613,-0.005043144358628876,109.58538034308123
CCHS 2019-20 (diabetes),npv,0.09910576211927655,0.9662118258609487,0.9795306523312313,-0.013318826470282596,0.9717379816122659,0.9757524257977594,-0.004014444185493571,69.85887462044249
CCHS 2019-20 (diabetes),predicted_positive_rate,0.09910576211927655,0.4237681593530028,0.40989507076622744,0.013873088586775384,0.4155538789455963,0.4169492844223957,-0.001395405476799394,110.05836204440858
