dataset,threshold,sensitivity_A,sensitivity_B,sensitivity_gap,specificity_A,specificity_B,specificity_gap,fnr_A,fnr_B,fnr_gap,fpr_A,fpr_B,fpr_gap,ppv_A,ppv_B,ppv_gap,npv_A,npv_B,npv_gap,predicted_positive_rate_A,predicted_positive_rate_B,predicted_positive_rate_gap,disparate_impact_ratio
CDC Diabetes (BRFSS 2015),0.01,0.9952279957582184,0.9946329913180741,0.0005950044401442645,0.13658641290738024,0.16203882958128216,-0.025452416673901912,0.004772004241781591,0.0053670086819258556,-0.0005950044401442645,0.8634135870926197,0.8379611704187179,0.025452416673901856,0.18917556944164482,0.1721584699453552,0.017017099496289628,0.9929778933680105,0.9942304428983539,-0.001252549530343483,0.8856029276129839,0.8613183347845528,0.024284592828431095,1.0281946776791946
CDC Diabetes (BRFSS 2015),0.02,0.986744432661718,0.98689818468824,-0.0001537520265220138,0.2241262118556148,0.25396869295868135,-0.02984248110306656,0.013255567338282037,0.013101815311760023,0.0001537520265220138,0.7758737881443852,0.7460313070413187,0.02984248110306653,0.20472296578783322,0.18816023113732808,0.016562734650505145,0.9881703470031545,0.9910425210446795,-0.0028721740415249553,0.8113712772604207,0.7819405549149272,0.029430722345493487,1.0376380559372516
CDC Diabetes (BRFSS 2015),0.03,0.9768469423824673,0.9750591949486977,0.0017877474337695265,0.30783815690623545,0.33699319652635656,-0.029155039620121115,0.023153057617532724,0.02494080505130225,-0.0017877474337695265,0.6921618430937646,0.6630068034736434,0.029155039620121226,0.22219095477386935,0.20487562189054725,0.0173153328833221,0.9850045787545788,0.9871992222312241,-0.0021946434766453304,0.7400850911903841,0.709528628244652,0.03055646294573211,1.043065863348358
CDC Diabetes (BRFSS 2015),0.04,0.9642983386355602,0.9632202052091555,0.001078133426404726,0.3578864522591493,0.3892084739200177,-0.03132202166086839,0.03570166136443975,0.03677979479084448,-0.001078133426404726,0.6421135477408507,0.6107915260799823,0.03132202166086839,0.23311258278145697,0.2164827757476851,0.01662980703377187,0.9802077209484616,0.98371312735915,-0.0035054064106883054,0.6963494094195353,0.6633327842232838,0.03301662519625148,1.049773848031515
CDC Diabetes (BRFSS 2015),0.05,0.9544008483563097,0.9548539857932123,-0.00045313743690267305,0.3983114513647909,0.4296697826207202,-0.031358331255929295,0.04559915164369033,0.045146014206787655,0.00045313743690267305,0.601688548635209,0.5703302173792798,0.03135833125592924,0.24303524010981592,0.22680064489520452,0.016234595214611403,0.9773525280898876,0.9819239034256099,-0.004571375335722272,0.6610633423581566,0.6276563198644483,0.033407022493708305,1.0532250236895935
CDC Diabetes (BRFSS 2015),0.06,0.943089430894309,0.9441199684293607,-0.0010305375350517787,0.435373662934211,0.4680015487582278,-0.03262788582401682,0.05691056910569103,0.055880031570639255,0.0010305375350517787,0.564626337065789,0.5319984512417721,0.03262788582401688,0.2526634783843932,0.2371812666058611,0.015482211778532068,0.9742235030419468,0.9795091456355638,-0.005285642593616968,0.6283359614411949,0.5934389193514226,0.03489704208977229,1.0588047749343972
CDC Diabetes (BRFSS 2015),0.07,0.9280664545775893,0.9322809786898185,-0.004214524112229223,0.471434193109863,0.5038442391725206,-0.03241004606265763,0.0719335454224107,0.06771902131018148,0.004214524112229223,0.528565806890137,0.49615576082747936,0.03241004606265763,0.26220912813342656,0.24767256562945567,0.014536562503970896,0.9700404858299595,0.9769936182763983,-0.006953132446438803,0.5958168456755228,0.5611747817287553,0.0346420639467675,1.0617313269852382
CDC Diabetes (BRFSS 2015),0.08,0.9059738423471191,0.9152328334648777,-0.00925899111775863,0.5152219797517261,0.5462691520548703,-0.031047172303144133,0.09402615765288092,0.08476716653512228,0.00925899111775863,0.4847780202482739,0.45373084794512974,0.031047172303144133,0.27445521229319486,0.2611241217798595,0.013331090513335364,0.9643765903307888,0.9735324560106462,-0.009155865679857378,0.5556811758055399,0.5225331231026287,0.03314805270291121,1.0634372276844175
CDC Diabetes (BRFSS 2015),0.09,0.8934252386002121,0.9043409629044988,-0.010915724304286778,0.5399420455765034,0.5684772387853311,-0.02853519320882769,0.10657476139978794,0.09565903709550116,0.010915724304286778,0.4600579544234966,0.4315227612146689,0.02853519320882769,0.2821657828635222,0.2685636602287643,0.013602122634757852,0.9615825688073395,0.9713624119843107,-0.009779843176971226,0.5330100264794264,0.5020120961099476,0.030997930369478843,1.0617473774231325
CDC Diabetes (BRFSS 2015),0.1,0.8776952986921174,0.8928176795580111,-0.015122380865893681,0.5663435051693915,0.5933679960174788,-0.027024490848087335,0.12230470130788262,0.10718232044198894,0.015122380865893681,0.43365649483060853,0.4066320039825212,0.027024490848087335,0.29061329588014984,0.2778132521243676,0.012800043755782253,0.9581189856563578,0.9693232131562303,-0.011204227499872488,0.5084049864627652,0.4791142070458664,0.029290779416898838,1.0611352762789077
CDC Diabetes (BRFSS 2015),0.11,0.8609049133969601,0.8805051302288871,-0.01960021683192703,0.5889886595356492,0.6136954477570662,-0.02470678822141703,0.13909508660303993,0.1194948697711129,0.01960021683192703,0.41101134046435084,0.3863045522429338,0.02470678822141703,0.2977383863080685,0.28537808247211705,0.012360303835951436,0.954379456263405,0.9670109382490086,-0.012631481985603599,0.48674541072863053,0.4599816440354882,0.026763766693142343,1.0581844233138082
CDC Diabetes (BRFSS 2015),0.12,0.8451749734888653,0.869455406471981,-0.024280432983115774,0.6114191678889564,0.6345483710382211,-0.0231292031492647,0.15482502651113472,0.13054459352801895,0.024280432983115774,0.38858083211104355,0.36545162896177885,0.0231292031492647,0.30567629762209153,0.29419933767759854,0.011476959944492993,0.9512439472366004,0.965209709309663,-0.013965762073062549,0.4654428609681354,0.4405902148589179,0.024852646109217502,1.0564076215745635
CDC Diabetes (BRFSS 2015),0.13,0.8315659243548957,0.8552486187845304,-0.023682694429634665,0.6307015347189926,0.6518059627191769,-0.021104428000184305,0.16843407564510426,0.1447513812154696,0.023682694429634665,0.3692984652810074,0.3481940372808231,0.021104428000184305,0.31308224647324995,0.3008662816525988,0.012215964820651126,0.9487165689070656,0.9625484990810701,-0.013831930174004525,0.44711552765463686,0.4237874473442685,0.02332808031036837,1.0550466524116218
CDC Diabetes (BRFSS 2015),0.14,0.8154825026511134,0.842620363062352,-0.027137860411238557,0.6489106714842772,0.6674871397754301,-0.018576468291152892,0.18451749734888656,0.157379636937648,0.027137860411238557,0.35108932851572283,0.33251286022456994,0.018576468291152892,0.3197948433601331,0.307470767812914,0.012324075547219093,0.9455768128030027,0.9603294604488302,-0.01475264764582751,0.42926422897265776,0.4085614101146071,0.020702818858050642,1.0506724774918004
CDC Diabetes (BRFSS 2015),0.15,0.795157299399081,0.8293606945540647,-0.03420339515498372,0.6677637462884127,0.6861828640964656,-0.01841911780805283,0.20484270060091903,0.1706393054459353,0.03420339515498372,0.33223625371158727,0.31381713590353444,0.01841911780805283,0.32634556796750325,0.3164869586169508,0.009858609350552439,0.9415384615384615,0.9582496524022864,-0.016711190863824887,0.4101633393829401,0.390676111359518,0.019487228023422065,1.049880777085674
CDC Diabetes (BRFSS 2015),0.16,0.7743018734535172,0.8088397790055248,-0.03453790555200764,0.6914463563839301,0.7092206427346646,-0.017774286350734414,0.2256981265464828,0.19116022099447516,0.03453790555200764,0.30855364361606985,0.29077935726533544,0.017774286350734414,0.3368445332923266,0.3276633840644584,0.009181149227868224,0.9380247512739627,0.9549059765406814,-0.016881225266718758,0.3869566510963673,0.3680135551737933,0.018943095922573983,1.0514739081108797
CDC Diabetes (BRFSS 2015),0.17,0.7495581477553906,0.7876874506708761,-0.03812930291548544,0.7162379708796909,0.7317882626251452,-0.015550291745454303,0.25044185224460935,0.2123125493291239,0.03812930291548544,0.2837620291203091,0.2682117373748548,0.015550291745454303,0.34839398669185906,0.33973311546840956,0.008660871223449496,0.9339024162701745,0.9516274051429598,-0.017724988872785397,0.3621730980928863,0.345656931729932,0.016516166362954277,1.047781961959492
CDC Diabetes (BRFSS 2015),0.18,0.7308236125839519,0.7696921862667719,-0.03886857368282004,0.7344471076449754,0.7483267879860612,-0.013879680341085776,0.2691763874160481,0.23030781373322806,0.03886857368282004,0.26555289235502455,0.2516732120139388,0.013879680341085776,0.3577608582799792,0.34888380080137377,0.008877057478605455,0.9309391012560649,0.9488375355051373,-0.017898434249072337,0.34387551694385765,0.3289012307909538,0.01497428615290386,1.0455282156193004
CDC Diabetes (BRFSS 2015),0.19,0.7106751502297631,0.7531176006314128,-0.04244245040164962,0.7488999391836296,0.7610487305713811,-0.01214879138775149,0.28932484977023687,0.24688239936858725,0.04244245040164962,0.2511000608163704,0.23895126942861888,0.01214879138775149,0.3642210144927536,0.35575274028782344,0.008468274204930182,0.9274733064551859,0.9462210301904959,-0.018747723735309973,0.3284638957484157,0.3156049231638152,0.012858972584600503,1.0407438909878033
CDC Diabetes (BRFSS 2015),0.2,0.6889360197949805,0.736069455406472,-0.047133435611491414,0.7649268414839194,0.7741578627136456,-0.009231021229726188,0.31106398020501946,0.26393054459352805,0.047133435611491414,0.23507315851608057,0.22584213728635438,0.009231021229726188,0.37233737701786224,0.3634733806220282,0.008863996395834017,0.9239478005358223,0.9436353829557713,-0.019687582419949057,0.3114754098360656,0.3019085496434707,0.009566860192594895,1.031687940616099
CDC Diabetes (BRFSS 2015),0.21,0.6705549664192294,0.7171270718232045,-0.04657210540397505,0.7785568633062641,0.7877371536036285,-0.009180290297364446,0.3294450335807706,0.28287292817679555,0.04657210540397505,0.22144313669373594,0.2122628463963715,0.009180290297364446,0.38000801282051283,0.37182844982812246,0.008179562992390366,0.9211072078554197,0.9408092485549133,-0.01970204069949366,0.29704561006813246,0.2875297107758925,0.009515899292239949,1.0330953600118802
CDC Diabetes (BRFSS 2015),0.22,0.6521739130434783,0.6981846882399368,-0.046010775196458575,0.7932601151933603,0.8001272194258532,-0.0068671042324929266,0.34782608695652173,0.30181531176006315,0.046010775196458575,0.20673988480663974,0.1998727805741468,0.0068671042324929266,0.38969268138134966,0.37965665236051505,0.010036029020834614,0.9184823129815259,0.9380086243231852,-0.019526311341659275,0.2817232453661004,0.274162803285247,0.00756044208085338,1.0275764691280431
CDC Diabetes (BRFSS 2015),0.23,0.6265464828561329,0.6752959747434886,-0.04874949188735567,0.8102529245519264,0.8151999557497649,-0.0049470311978384585,0.3734535171438671,0.32470402525651143,0.04874949188735567,0.18974707544807357,0.1848000442502351,0.0049470311978384585,0.400610238445022,0.3903284671532847,0.010281771291737352,0.9146676358937081,0.9347667522912504,-0.02009911639754225,0.263276903394722,0.25792483467865296,0.005352068716069025,1.0207504978058322
CDC Diabetes (BRFSS 2015),0.24,0.599858607281725,0.6554064719810576,-0.055547864699332594,0.8243480127356634,0.828198462304331,-0.0038504495686676465,0.400141392718275,0.3445935280189424,0.055547864699332594,0.17565198726433662,0.17180153769566897,0.0038504495686676465,0.4087186897880539,0.40061752219220376,0.008101167595850167,0.9105385861619315,0.932055152665816,-0.02151656650388445,0.24706197375859093,0.2438989951286094,0.003162978629981522,1.0129683954963147
CDC Diabetes (BRFSS 2015),0.25,0.5858960763520679,0.6382004735595895,-0.05230439720752167,0.8345436983508031,0.8364124121909398,-0.0018687138401366488,0.41410392364793214,0.36179952644041047,0.05230439720752167,0.1654563016491969,0.16358758780906024,0.0018687138401366488,0.41750629722921917,0.40600522193211486,0.011501075297104313,0.9087296949865608,0.9295527893038267,-0.020823094317265922,0.23623218589152362,0.23434448026733815,0.0018877056241854706,1.0080552595991679
CDC Diabetes (BRFSS 2015),0.26,0.572463768115942,0.6249408050513023,-0.05247703693536032,0.8420205344685723,0.8435201062005642,-0.0014995717319918889,0.427536231884058,0.37505919494869766,0.05247703693536032,0.15797946553142772,0.15647989379943583,0.0014995717319918889,0.42312214239059437,0.4116668399708849,0.01145530241970949,0.9068038218523655,0.9277284341160725,-0.02092461226370701,0.22775281901758354,0.2263196291153837,0.001433189902199844,1.0063325921299966
CDC Diabetes (BRFSS 2015),0.27,0.55920820077766,0.6138910812943962,-0.0546828805167362,0.8483168175151147,0.8495492007301289,-0.0012323832150141767,0.44079179922234,0.3861089187056038,0.0546828805167362,0.15168318248488533,0.15045079926987115,0.0012323832150141767,0.4273365748244192,0.41687211919819916,0.01046445562622006,0.904834586179265,0.9262453262573875,-0.021410740078122492,0.22028502573562225,0.21954204221871837,0.0007429835169038834,1.0033842425322967
CDC Diabetes (BRFSS 2015),0.28,0.5461293743372216,0.6018942383583268,-0.05576486402110514,0.8542553572067398,0.8554400132750706,-0.0011846560683307361,0.45387062566277836,0.3981057616416732,0.05576486402110514,0.14574464279326016,0.14455998672492942,0.0011846560683307361,0.43132328308207707,0.42179203539823007,0.009531247683847,0.9029001399024464,0.9246106477744895,-0.021710507872043094,0.21314450626283063,0.2127409220342174,0.00040358422861322407,1.0018970690958475
