dataset,comparison,metric,estimate,ci_low,ci_high,type
Diabetes-130 (readmission),AfricanAmerican_vs_Caucasian,sensitivity,-0.0399142410069766,-0.09049308887432221,0.006248268514719287,raw
Diabetes-130 (readmission),AfricanAmerican_vs_Caucasian,specificity,0.02174292567865399,0.004447120107873798,0.03967744449875236,raw
Diabetes-130 (readmission),AfricanAmerican_vs_Caucasian,fpr,-0.02174292567865399,-0.03967744449875236,-0.004447120107873798,raw
Diabetes-130 (readmission),AfricanAmerican_vs_Caucasian,fnr,0.0399142410069766,-0.006248268514719287,0.09049308887432221,raw
Diabetes-130 (readmission),AfricanAmerican_vs_Caucasian,ppv,-0.0008963126248432152,-0.022487952808680232,0.020878728270683444,raw
Diabetes-130 (readmission),AfricanAmerican_vs_Caucasian,npv,-0.00485047985361986,-0.015270893227603182,0.005126219754612249,raw
Diabetes-130 (readmission),AfricanAmerican_vs_Caucasian,predicted_positive_rate,-0.023786255396134826,-0.04246331175110404,-0.0047893141417474664,raw
Diabetes-130 (readmission),AfricanAmerican_vs_Caucasian,prevalence,0.0001695882107455582,-0.010573282877401917,0.012265861694081174,raw
Diabetes-130 (readmission),AfricanAmerican_vs_Caucasian,ppv,-0.0011345299868954495,-0.0133904092121604,0.0112151017307659,prevalence_adjusted
Diabetes-130 (readmission),AfricanAmerican_vs_Caucasian,npv,-0.004733212272460929,-0.013097419930798262,0.00370830085692026,prevalence_adjusted
Diabetes-130 (readmission),AfricanAmerican_vs_Caucasian,predicted_positive_rate,-0.023824904589247298,-0.04169323579948867,-0.006303299745968415,prevalence_adjusted
BRFSS 2022 (heart disease),Black_vs_White,sensitivity,0.00037610278518240836,-0.028792689055656028,0.027223998823491247,raw
BRFSS 2022 (heart disease),Black_vs_White,specificity,-0.01587769835900421,-0.025125380299923755,-0.006529121294050822,raw
BRFSS 2022 (heart disease),Black_vs_White,fpr,0.01587769835900421,0.006529121294050822,0.025125380299923755,raw
BRFSS 2022 (heart disease),Black_vs_White,fnr,-0.00037610278518240836,-0.027223998823491247,0.028792689055656028,raw
BRFSS 2022 (heart disease),Black_vs_White,ppv,-0.05129988050207929,-0.06437554599059137,-0.039122014360435185,raw
BRFSS 2022 (heart disease),Black_vs_White,npv,0.006449364710906735,0.0025678418835695356,0.0101881793576957,raw
BRFSS 2022 (heart disease),Black_vs_White,predicted_positive_rate,0.0038416906086094493,-0.005165673428695279,0.013370583140591434,raw
BRFSS 2022 (heart disease),Black_vs_White,prevalence,-0.02165053270397238,-0.027275112438251304,-0.016154933167718665,raw
BRFSS 2022 (heart disease),Black_vs_White,ppv,-0.008548604091307449,-0.01660493897838586,-0.0010249134220574594,prevalence_adjusted
BRFSS 2022 (heart disease),Black_vs_White,npv,-0.0005971980995015391,-0.005028633105821611,0.00330280446525489,prevalence_adjusted
BRFSS 2022 (heart disease),Black_vs_White,predicted_positive_rate,0.014395698475594743,0.0052529537152207735,0.023439650562590664,prevalence_adjusted
BRFSS 2022 (heart disease),Hispanic_vs_White,sensitivity,-0.0974550048259808,-0.13183795167801815,-0.0681177247454133,raw
BRFSS 2022 (heart disease),Hispanic_vs_White,specificity,0.12079135155680087,0.11316924431227585,0.1281262014668701,raw
BRFSS 2022 (heart disease),Hispanic_vs_White,fpr,-0.12079135155680087,-0.1281262014668701,-0.11316924431227585,raw
BRFSS 2022 (heart disease),Hispanic_vs_White,fnr,0.0974550048259808,0.0681177247454133,0.13183795167801815,raw
BRFSS 2022 (heart disease),Hispanic_vs_White,ppv,-0.02740012619574983,-0.041605543659645056,-0.01259780892333753,raw
BRFSS 2022 (heart disease),Hispanic_vs_White,npv,0.007574091665331184,0.004447131846528682,0.010691003183427195,raw
BRFSS 2022 (heart disease),Hispanic_vs_White,predicted_positive_rate,-0.13820158210433167,-0.1456672273208558,-0.13034892518950406,raw
BRFSS 2022 (heart disease),Hispanic_vs_White,prevalence,-0.038071566454546166,-0.04230259281471519,-0.03338455600321802,raw
BRFSS 2022 (heart disease),Hispanic_vs_White,ppv,0.06779990951374787,0.05524167051175574,0.07911321978006212,prevalence_adjusted
BRFSS 2022 (heart disease),Hispanic_vs_White,npv,-0.007411914436156963,-0.011531629087152846,-0.003923158475241955,prevalence_adjusted
BRFSS 2022 (heart disease),Hispanic_vs_White,predicted_positive_rate,-0.11862244963395085,-0.12620904682272174,-0.11117601826496595,prevalence_adjusted
BRFSS 2022 (heart disease),Multiracial_vs_White,sensitivity,0.013661915406635305,-0.03927411578623282,0.0641534064232312,raw
BRFSS 2022 (heart disease),Multiracial_vs_White,specificity,0.06885436526053978,0.05210800867881218,0.0844332526099148,raw
BRFSS 2022 (heart disease),Multiracial_vs_White,fpr,-0.06885436526053978,-0.0844332526099148,-0.05210800867881218,raw
BRFSS 2022 (heart disease),Multiracial_vs_White,fnr,-0.013661915406635305,-0.0641534064232312,0.03927411578623282,raw
