dataset,command_id,analysis_role,protected_attribute,comparison,group,group_value,metric,estimate,ci_low,ci_high,ci_method,numerator,denominator,selected_family,test_auroc,threshold
sex_cdc,sex_cdc,primary,Sex,Male vs Female,Male,1,npv,0.9390011250794893,0.9356371947061248,0.9422001004158982,wilson,19196,20443,xgboost,0.8241183349373199,0.1575888633599135
sex_cdc,sex_cdc,primary,Sex,Male vs Female,Male,1,ppv,0.3349787363304982,0.326966419309621,0.3430873075297918,wilson,4411,13168,xgboost,0.8241183349373199,0.1575888633599135
sex_cdc,sex_cdc,primary,Sex,Male vs Female,Male,1,prevalence,0.16833774657106304,0.16437559034324617,0.17237570663038015,wilson,5658,33611,xgboost,0.8241183349373199,0.1575888633599135
sex_cdc,sex_cdc,primary,Sex,Male vs Female,Male,1,sensitivity,0.77960410038883,0.7686156044606275,0.7902131834897562,wilson,4411,5658,xgboost,0.8241183349373199,0.1575888633599135
sex_cdc,sex_cdc,primary,Sex,Male vs Female,Male,1,specificity,0.6867241440990234,0.6812614348259494,0.6921355390552464,wilson,19196,27953,xgboost,0.8241183349373199,0.1575888633599135
sex_cdc,sex_cdc,primary,Sex,Male vs Female,Female,0,npv,0.955442942942943,0.9528989271713585,0.9578556289051082,wilson,25453,26640,xgboost,0.8241183349373199,0.1575888633599135
sex_cdc,sex_cdc,primary,Sex,Male vs Female,Female,0,ppv,0.3247334889295401,0.3174872791827079,0.33206461837323287,wilson,5148,15853,xgboost,0.8241183349373199,0.1575888633599135
sex_cdc,sex_cdc,primary,Sex,Male vs Female,Female,0,prevalence,0.14908337843880168,0.14572863151648258,0.1525015668642984,wilson,6335,42493,xgboost,0.8241183349373199,0.1575888633599135
sex_cdc,sex_cdc,primary,Sex,Male vs Female,Female,0,sensitivity,0.8126282557221783,0.8028309604281544,0.8220466336451514,wilson,5148,6335,xgboost,0.8241183349373199,0.1575888633599135
sex_cdc,sex_cdc,primary,Sex,Male vs Female,Female,0,specificity,0.7039382709220643,0.6992113225488579,0.7086218907235993,wilson,25453,36158,xgboost,0.8241183349373199,0.1575888633599135
sex_diabetes130,sex_diabetes130,primary,gender,Male vs Female,Male,Male,npv,0.9295612009237876,0.9241907593825487,0.9347448721525438,patient_cluster_bootstrap,8050,8660,xgboost,0.668201542077142,0.11265244541301705
sex_diabetes130,sex_diabetes130,primary,gender,Male vs Female,Male,Male,ppv,0.16631858743117525,0.1558156729441974,0.1774715369548157,patient_cluster_bootstrap,876,5267,xgboost,0.668201542077142,0.11265244541301705
sex_diabetes130,sex_diabetes130,primary,gender,Male vs Female,Male,Male,prevalence,0.10669921734759819,0.10095382232753794,0.11246605053145772,patient_cluster_bootstrap,1486,13927,xgboost,0.668201542077142,0.11265244541301705
sex_diabetes130,sex_diabetes130,primary,gender,Male vs Female,Male,Male,sensitivity,0.5895020188425303,0.5622275171065494,0.6155857926036852,patient_cluster_bootstrap,876,1486,xgboost,0.668201542077142,0.11265244541301705
sex_diabetes130,sex_diabetes130,primary,gender,Male vs Female,Male,Male,specificity,0.6470540953299574,0.6370660557561028,0.6568744942049171,patient_cluster_bootstrap,8050,12441,xgboost,0.668201542077142,0.11265244541301705
sex_diabetes130,sex_diabetes130,primary,gender,Male vs Female,Female,Female,npv,0.9297529538131042,0.9239698798792104,0.9349512868539059,patient_cluster_bootstrap,8656,9310,xgboost,0.668201542077142,0.11265244541301705
