dataset,comparison_type,comparison,group,group_value,n,n_events,brier,brier_ci_low,brier_ci_high,calib_intercept,calib_intercept_ci_low,calib_intercept_ci_high,calib_slope,calib_slope_ci_low,calib_slope_ci_high,calib_status,calib_slope_valid_replicates,calib_slope_failed_replicates,calib_replicate_status_counts,calib_n_clipped,ece,ci_method,n_boot,resampling_unit
BRFSS 2022 (Behavioral Risk Factor Surveillance System),sex,Male vs Female,Female,2.0,70050,4977,0.057551622143728,0.0563231720385521,0.058687874540696,-0.2568796705131302,-0.3133808778189961,-0.1980613979341275,1.0311637621208043,1.0030234765549129,1.0604726868431873,ok,1000,0,"{""ok"": 1000}",11,0.0195429665573834,percentile,1000,observation
BRFSS 2022 (Behavioral Risk Factor Surveillance System),sex,Male vs Female,Male,1.0,61984,6948,0.0820228412162225,0.0804089447910551,0.0837940517056961,0.3215002511034245,0.2710396831560419,0.3697672697667784,1.009440506676432,0.9847946885070912,1.0314529446823282,ok,1000,0,"{""ok"": 1000}",11,0.0226690210969803,percentile,1000,observation
BRFSS 2022 (Behavioral Risk Factor Surveillance System),sex,Male vs Female,overall,overall,132034,11925,0.06903975431415,0.0680209815732924,0.0700515206938434,0.0262692102759879,-0.0112978925368882,0.0625592149644641,1.0130194408909212,0.9948924364585974,1.030161020950376,ok,1000,0,"{""ok"": 1000}",22,0.0008599448005521,percentile,1000,observation
CCHS 2019-2020,sex,Male vs Female,Female,Female,16392,1388,0.0691692696864808,0.0663535518689656,0.0719894854269543,-0.1542165536835273,-0.2661691056814911,-0.0427316644930615,1.020021806853187,0.95943475207897,1.0832034954018788,ok,1000,0,"{""ok"": 1000}",61,0.013620608907533,percentile,1000,observation
CCHS 2019-2020,sex,Male vs Female,Male,Male,13354,1560,0.0908551319211325,0.0870848877845223,0.0944532258818055,0.0520635425592656,-0.0623832168313866,0.1732219533414569,0.9087707826706826,0.8513374059863259,0.9697782456366456,ok,1000,0,"{""ok"": 1000}",60,0.017321309734551,percentile,1000,observation
CCHS 2019-2020,sex,Male vs Female,overall,overall,29746,2948,0.0789047972962952,0.076605179139771,0.0811666388077308,-0.065309801884649,-0.1481530679223857,0.0151681024486021,0.958346682931199,0.9141596442477092,1.0028358800837842,ok,1000,0,"{""ok"": 1000}",121,0.0028312213975587,percentile,1000,observation
CDC Diabetes Health Indicators (BRFSS 2015),sex,Male vs Female,Female,0,42493,6335,0.0995655814041223,0.0978199207239642,0.1013609923615703,-0.0315157589011488,-0.0715562112422417,0.0121392020289701,1.0313361869369209,1.0049661517707091,1.0601781725752506,ok,1000,0,"{""ok"": 1000}",72,0.0079527360912577,percentile,1000,observation
CDC Diabetes Health Indicators (BRFSS 2015),sex,Male vs Female,Male,1,33611,5658,0.1137526524854807,0.1116039230487684,0.1161127553987144,0.0433398380166199,-0.0090887592351182,0.0898984309777723,0.9661161989755432,0.9359443640061724,0.9968031177023158,ok,1000,0,"{""ok"": 1000}",45,0.0094218408524424,percentile,1000,observation
CDC Diabetes Health Indicators (BRFSS 2015),sex,Male vs Female,overall,overall,76104,11993,0.1058312395313632,0.1044645413383809,0.107185761941729,0.0024755440040068,-0.0293053825921837,0.0350763956035413,0.999649032973622,0.980538425742714,1.0204537327044434,ok,1000,0,"{""ok"": 1000}",117,0.0024755738938792,percentile,1000,observation
Diabetes 130-US Hospitals (1999-2008),sex,Male vs Female,Female,Female,16253,1807,0.094288915678977,0.0903002290111318,0.098320987754228,0.0657176445185826,-0.106906900713362,0.250916196016126,1.0520769616938526,0.9658075916285752,1.1384701002311095,ok,1000,0,"{""ok"": 1000}",153,0.0064440495543613,percentile,1000,patient_cluster
