dataset,comparison_type,comparison,group,group_value,n,n_events,selected_family,operating_threshold,auroc,auroc_ci_low,auroc_ci_high,auprc,ci_method,ci_level,n_boot,resampling_unit,resampling_design,n_resampling_units,n_units_spanning_subgroups
BRFSS 2022 (Behavioral Risk Factor Surveillance System),sex,Male vs Female,Female,2.0,70050,4977,xgboost,0.0903215754502932,0.8348842460575204,0.8294289431181338,0.8397762539021386,0.2999508160257712,percentile,0.95,1000,observation,row_level_within_subgroup_resampling,132034,0
BRFSS 2022 (Behavioral Risk Factor Surveillance System),sex,Male vs Female,Male,1.0,61984,6948,xgboost,0.0903215754502932,0.841708252729788,0.8375988488341954,0.8457004557821373,0.4012401156217993,percentile,0.95,1000,observation,row_level_within_subgroup_resampling,132034,0
BRFSS 2022 (Behavioral Risk Factor Surveillance System),sex,Male vs Female,overall,overall,132034,11925,xgboost,0.0903215754502932,0.836544666547034,0.833338623822908,0.839610895586457,0.3470059332161495,percentile,0.95,1000,observation,row_level_within_subgroup_resampling,132034,0
CCHS 2019-2020,sex,Male vs Female,Female,Female,16392,1388,calibrated_ensemble,0.099096632904462,0.8171636458903946,0.8071542517049014,0.8264553986415482,0.2626055528467894,percentile,0.95,1000,observation,row_level_within_subgroup_resampling,29746,0
CCHS 2019-2020,sex,Male vs Female,Male,Male,13354,1560,calibrated_ensemble,0.099096632904462,0.7975487590387116,0.7874639399550019,0.8074728174134483,0.3083641000060501,percentile,0.95,1000,observation,row_level_within_subgroup_resampling,29746,0
CCHS 2019-2020,sex,Male vs Female,overall,overall,29746,2948,calibrated_ensemble,0.099096632904462,0.8064862598851269,0.7987376348392693,0.8132234902517848,0.2818574416217223,percentile,0.95,1000,observation,row_level_within_subgroup_resampling,29746,0
CDC Diabetes Health Indicators (BRFSS 2015),sex,Male vs Female,Female,0,42493,6335,xgboost,0.1575888633599135,0.8354183928267469,0.8307391257397513,0.8400665934733648,0.4690590064834049,percentile,0.95,1000,observation,row_level_within_subgroup_resampling,76104,0
CDC Diabetes Health Indicators (BRFSS 2015),sex,Male vs Female,Male,1,33611,5658,xgboost,0.1575888633599135,0.8104055661426428,0.804700594938577,0.8160971067661388,0.4538938686203743,percentile,0.95,1000,observation,row_level_within_subgroup_resampling,76104,0
CDC Diabetes Health Indicators (BRFSS 2015),sex,Male vs Female,overall,overall,76104,11993,xgboost,0.1575888633599135,0.8241183349373199,0.820588172655756,0.8276328743028726,0.4614271366731698,percentile,0.95,1000,observation,row_level_within_subgroup_resampling,76104,0
Diabetes 130-US Hospitals (1999-2008),sex,Male vs Female,Female,Female,16253,1807,xgboost,0.112652445413017,0.6728371889863906,0.6586080816376619,0.6871841661933231,0.2200317203055192,percentile,0.95,1000,patient_cluster,joint_patient_cluster_whole_test_set,21455,1
